"Test Number"|"CAS Number"|"Chemical Name"|"Chemical Grade"|"Chemical Analysis"|"Test Method"|"Chemical Purity Mean Op"|"Chemical Purity Mean(%)"|"Chemical Purity Min Op"|"Chemical Purity Min(%)"|"Chemical Purity Max Op"|"Chemical Purity Max(%)"|"Species Scientific Name"|"Species Group"|"Organism Lifestage"|"Organism Age Mean Op"|"Organism Age Mean"|"Organism Age Min Op"|"Organism Age Min"|"Organism Age Max Op"|"Organism Age Max"|"Age Units"|"Exposure Type"|"Media Type"|"Test Location"|"Number of Doses"|"Conc 1 Type (Standardized)"|"Conc 1 Mean Op (Standardized)"|"Conc 1 Mean (Standardized)"|"Conc 1 Min Op (Standardized)"|"Conc 1 Min (Standardized)"|"Conc 1 Max Op (Standardized)"|"Conc 1 Max (Standardized)"|"Conc 1 Units (Standardized)"|"Conc 2 Type (Standardized)"|"Conc 2 Mean Op (Standardized)"|"Conc 2 Mean (Standardized)"|"Conc 2 Min Op (Standardized)"|"Conc Min 2 (Standardized)"|"Conc 2 Max Op (Standardized)"|"Conc 2 Max (Standardized)"|"Conc 2 Units (Standardized)"|"Conc 3 Type (Standardized)"|"Conc 3 Mean Op (Standardized)"|"Conc 3 Mean (Standardized)"|"Conc 3 Min Op (Standardized)"|"Conc Min 3 (Standardized)"|"Conc 3 Max Op (Standardized)"|"Conc 3 Max (Standardized)"|"Conc 3 Units (Standardized)"|Effect|"Effect Measurement"|Endpoint|"Response Site"|"Observed Duration Mean Op (Days)"|"Observed Duration Mean (Days)"|"Observed Duration Min Op (Days)"|"Observed Duration Min (Days)"|"Observed Duration Max Op (Days)"|"Observed Duration Max (Days)"|"Observed Duration Units (Days)"|"Test Type"|"Temperature Mean Op"|"Temperature Mean"|"Temperature Min Op"|"Temperature Min"|"Temperature Max Op"|"Temperature Max"|"Temperature Units"|"Hardness Mean Op"|"Hardness Mean"|"Hardness Min Op"|"Hardness Min"|"Hardness Max Op"|"Hardness Max"|"Hardness Units"|"Alkalinity Mean Op"|"Alkalinity Mean"|"Alkalinity Min Op"|"Alkalinity Min"|"Alkalinity Max Op"|"Alkalinity Max"|"Alkalinity Units"|"pH Mean Op"|"pH Mean"|"pH Min Op"|"pH Min"|"pH Max Op"|"pH Max"|"Author"|"Reference Number"|"Title"|"Source"|"Publication Year"|
1069656|50293|1,1'-(2,2,2-Trichloroethylidene)bis[4-chlorobenzene]|Standard|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||12||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Active ingredient||0.00061||0.00058||0.00064|AI mg/L|||||||||||||||||Reproduction|Reproduction, general|EC50|Not reported||14||NR||NR|Day(s)|Not coded|||||||NR||||320*||340*|mg/L CaCO3|||||||NR||7.6*|||||Maki,A.W., and H.E. Johnson|5525|Effects of PCB (Aroclor 1254) and p,p'-DDT on Production and Survival of Daphnia magna Strauss|Bull. Environ. Contam. Toxicol.13(4): 412-416|1975|
1301229|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0049||0.004||0.0061|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||22.4|||||mg/L||6.7|||||mg/L||6.11|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1203811|7758987|Sulfuric acid copper(2+) salt (1:1)|Reagent Grade, Purissium, Purum, Puriss or Puris|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.00796||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||4||NR||NR|Day(s)|Not coded||||19.5||22.3|C||||136||148|mg/L CaCO3||||67||71|mg/L CaCO3||||6.7||7.8|Suedel,B.C., E. Deaver, and J.H.,Jr. Rodgers|18527|Experimental Factors that may Affect Toxicity of Aqueous and Sediment-Bound Copper to Freshwater Organisms|Arch. Environ. Contam. Toxicol.30(1): 40-46|1996|
1190395|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||1||5|Day(s)|Not reported|Fresh water|Lab|NR|Total||0.082||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR|||||||Hayes,K.R., W.S. Douglas, and J. Fischer|17093|Inter- and Intra-Laboratory Testing of the Daphnia magna IQ Toxicity Test|Bull. Environ. Contam. Toxicol.57(4): 660-666|1996|
1209320|7758987|Sulfuric acid copper(2+) salt (1:1)|A.R. grade (Analytical Reagent grade)|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Labile||0.0035||0.0027||0.0041|AI mg/L|Total||0.119||0.087||0.131|AI mg/L|||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C||179|||||mg/L CaCO3||126|||||mg/L CaCO3||8.07|||||Barata,C., D.J. Baird, and S.J. Markich|19146|Influence of Genetic and Environmental Factors on the Tolerance of Daphnia magna Straus to Essential and Non-Essential Metals|Aquat. Toxicol.42(2): 115-137|1998|
1137980|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||6||24|Hour(s)|Renewal|Fresh water|Lab|NR|Total||0.0185||0.0131||0.0262|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||||19.5||21.0|C||250|||||mg/L CaCO3|||||||NR||||6.6||8.1|Dave,G.|11383|Effects of Copper on Growth, Reproduction, Survival and Haemoglobin in Daphnia magna|Comp. Biochem. Physiol. C Comp. Pharmacol.78(2): 439-443|1984|
1221958|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||NR||0||24|Hour(s)|Not reported|Fresh water|Lab|NR|Labile||0.000013||0.000012||0.000013|AI mg/L|Total||0.0397||0.0337||0.05|AI mg/L|||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||21|||||C||109.9|||||mg/L CaCO3||12.5|||||mg/L CaCO3||||7.85||7.87|Meador,J.P.|45176|The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity|Aquat. Toxicol.19(1): 13-31|1991|
1051304|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Total||0.0566||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||3||NR||NR|Day(s)|Not coded||20|||||C||86.0|||||mg/L CaCO3||81.5|||||mg/L CaCO3||8.5||8.2||9.1|Debelak,R.W.|3528|Acute Toxicity of Mixtures of Copper, Chromium and Cadmium to Daphnia magna|M.S.Thesis, Miami University, Oxford, OH:54 p.|1975|
1009733|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.04||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||15|||||C||45|||||mg/L CaCO3||42|||||mg/L CaCO3||7.5|||||Cairns,J.,Jr., A.L.,Jr. Buikema, A.G. Heath, and B.C. Parker|518|Effects of Temperature on Aquatic Organism Sensitivity to Selected Chemicals|Va.Water Resour.Res.Center, Bull.106, Office of Water Res.and Technol., OWRT Project B-084-VA, VA.Polytech.Inst.State Univ., Blacksburg, VA:88 p.|1978|
1253520|7758987|Sulfuric acid copper(2+) salt (1:1)|Not coded|Not reported|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Total||0.002||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||7.1|||||mg/L CaCO3||24|||||mg/L CaCO3||5.6|||||Long,K.E., E.J. Van Genderen, and S.J. Klaine|73402|The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication|Environ. Toxicol. Chem.23(1): 72-75|2004|
1051320|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Renewal|Fresh water|Lab|NR|Total||0.0687||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||3||NR||NR|Day(s)|Not coded||20|||||C||163.0|||||mg/L CaCO3||114.5|||||mg/L CaCO3||8.7||8.2||9.7|Debelak,R.W.|3528|Acute Toxicity of Mixtures of Copper, Chromium and Cadmium to Daphnia magna|M.S.Thesis, Miami University, Oxford, OH:54 p.|1975|
1135836|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.014||0.0094||0.019|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded|||||||NR|||||||NR|||||||NR|||||||LeBlanc,G.A.|11065|Laboratory Investigation into the Development of Resistance of Daphnia magna (Straus) to Environmental Pollutants|Environ. Pollut. A.27(4): 309-322|1982|
1221957|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||NR||0||24|Hour(s)|Not reported|Fresh water|Lab|NR|Labile||0.000016||0.000013||0.000019|AI mg/L|Total||0.0189||0.0145||0.0233|AI mg/L|||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||21|||||C||109.9|||||mg/L CaCO3||12.5|||||mg/L CaCO3||||7.85||7.87|Meador,J.P.|45176|The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity|Aquat. Toxicol.19(1): 13-31|1991|
1301201|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.00061||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||42.2|||||mg/L||5.3|||||mg/L||6.34|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1300564|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.00037||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||19.8|||||mg/L||5.3|||||mg/L||6.23|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1181419|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Young|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.005||0.003||0.01|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||15|||||C|||||||NR|||||||NR||||7.8||8.1|Qureshi,A.A., K.W. Flood, S.R. Thompson, S.M. Janhurst, C.S. Inniss, and D.A. Rokosh|15923|Comparison of a Luminescent Bacterial Test with Other Bioassays for Determining Toxicity of Pure Compounds and Complex Effluents|ASTM Spec. Tech. Publ.:179-195|1982|
1009737|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.09||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||10|||||C||45|||||mg/L CaCO3||42|||||mg/L CaCO3||7.5|||||Cairns,J.,Jr., A.L.,Jr. Buikema, A.G. Heath, and B.C. Parker|518|Effects of Temperature on Aquatic Organism Sensitivity to Selected Chemicals|Va.Water Resour.Res.Center, Bull.106, Office of Water Res.and Technol., OWRT Project B-084-VA, VA.Polytech.Inst.State Univ., Blacksburg, VA:88 p.|1978|
1221963|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||NR||0||24|Hour(s)|Not reported|Fresh water|Lab|NR|Labile||NR|>|0.00001|<|0.00002|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||21|||||C||109.9|||||mg/L CaCO3||12.5|||||mg/L CaCO3||||7.85||7.87|Meador,J.P.|45176|The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity|Aquat. Toxicol.19(1): 13-31|1991|
1300576|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0259||0.0222||0.0303|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||9.2|||||mg/L||6.7|||||mg/L||6.30|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1009734|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.01||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||20|||||C||45|||||mg/L CaCO3||42|||||mg/L CaCO3||7.5|||||Cairns,J.,Jr., A.L.,Jr. Buikema, A.G. Heath, and B.C. Parker|518|Effects of Temperature on Aquatic Organism Sensitivity to Selected Chemicals|Va.Water Resour.Res.Center, Bull.106, Office of Water Res.and Technol., OWRT Project B-084-VA, VA.Polytech.Inst.State Univ., Blacksburg, VA:88 p.|1978|
1072493|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|NR|Total||0.08||NR||NR|AI mg/L|||||||||||||||||Intoxication|Immobile|LC50|Not reported||1||NR||NR|Day(s)|Not coded||||20||22|C||16*|||||dH|||||||NR||||7.6*||7.7*|Bringmann,G., and R. Kuhn|5718|Results of the Damaging Effect of Water Pollutants on Daphnia magna (Befunde der Schadwirkung Wassergefahrdender Stoffe Gegen Daphnia magna)|TR-79-1204, Literature Research Company, Annandale, VA:26 p.|1977|
1243811|7758987|Sulfuric acid copper(2+) salt (1:1)|A.R. grade (Analytical Reagent grade)|Unmeasured|Not coded||99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||4||NR||NR|Instar|Not reported|Fresh water|Lab|4-7|Total||0.0379||0.0205||0.0616|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||20*|||||C|||||||NR|||||||NR|||||||Barata,C., I. Varo, J.C. Navarro, S. Arun, and C. Porte|80944|Antioxidant Enzyme Activities and Lipid Peroxidation in the Freshwater Cladoceran Daphnia magna Exposed to Redox Cycling Compounds|Comp. Biochem. Physiol. C Comp. Pharmacol. Toxicol.140(2): 175-186|2005|
1301290|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0382||0.0302||0.0484|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||19.8|||||mg/L||57.3|||||mg/L||7.86|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1310722|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||4||5|Day(s)|Renewal|Fresh water|Lab|6-10|Total||NR|>|0.05|<|0.2|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||20*|||||C|||||||NR|||||||NR||8.2|||||Barata,C., D.J. Baird, A. Minarro, and A.M.V.M. Soares|56555|Do Genotype Responses Always Converge from Lethal to Nonlethal Toxicant Exposure Levels?  Hypothesis Tested Using Clones of Daphnia magna Straus|Environ. Toxicol. Chem.19(9): 2314-2322|2000|
1253518|7758987|Sulfuric acid copper(2+) salt (1:1)|Not coded|Not reported|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Total||0.01||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||22.2|||||mg/L CaCO3||56|||||mg/L CaCO3||8.3|||||Long,K.E., E.J. Van Genderen, and S.J. Klaine|73402|The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication|Environ. Toxicol. Chem.23(1): 72-75|2004|
1002300|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Total||0.2||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50*/|Not reported||2||NR||NR|Day(s)|Not coded||||20*||22*|C||||170*||210*|mg/L CaCO3||||275*||290*|mg/L CaCO3||||7.4*||8.0*|Cabejszek,I., and M. Stasiak|323|Investigation on the Influence of some Metals on the Biocoenosis of Water with the Use of Daphnia magna as an Indicator (Part I) (Badania nad Wplywem Niektorych Metali na Biocenoze Wodna przy Zastosowaniu Daphnia magna |Roczyn. Zabl. Hig. Warsaw11:303-312|1960|
1203848|7758987|Sulfuric acid copper(2+) salt (1:1)|Reagent Grade, Purissium, Purum, Puriss or Puris|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.0095||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||14||NR||NR|Day(s)|Not coded||||19.7||24.1|C||||72||80|mg/L CaCO3||||68||70|mg/L CaCO3||||6.9||8.0|Suedel,B.C., E. Deaver, and J.H.,Jr. Rodgers|18527|Experimental Factors that may Affect Toxicity of Aqueous and Sediment-Bound Copper to Freshwater Organisms|Arch. Environ. Contam. Toxicol.30(1): 40-46|1996|
1300533|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.00023||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||10.6|||||mg/L||6.7|||||mg/L||6.33|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1164260|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Juvenile||NR||NR||NR|Not reported|Not reported|Fresh water|Lab|NR|Total||0.0093||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||3||NR||NR|Day(s)|Not coded||30|||||C|||||||NR|||||||NR|||||||Braginskiy,L.P., and E.P. Shcherban|14525|Water Toxicology and Radioecology.  Acute Toxicity of Heavy Metals to Aquatic Invertebrates at Different Temperatures|Hydrobiol. J.14(6): 78-82|1978|
1300566|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0308||0.0259||0.0367|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||9.2|||||mg/L||58.7|||||mg/L||7.84|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1300475|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0005||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||22.4|||||mg/L||6.7|||||mg/L||6.11|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1221969|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate||NR||0||24|Hour(s)|Not reported|Fresh water|Lab|NR|Labile||NR|>|0.000055|<|0.00006|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||21|||||C||109.9|||||mg/L CaCO3||12.5|||||mg/L CaCO3||||6.94||6.97|Meador,J.P.|45176|The Interaction of pH, Dissolved Organic Carbon, and Total Copper in the Determination of Ionic Copper and Toxicity|Aquat. Toxicol.19(1): 13-31|1991|
1301287|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Measured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<=|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Dissolved||0.0004||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||42.2|||||mg/L||5.3|||||mg/L||6.29|||||Ryan,A.C., J.R. Tomasso, and S.J. Klaine|115849|Influence of pH, Hardness, Dissolved Organic Carbon Concentration, and Dissolved Organic Matter Source on the Acute Toxicity of Copper to Daphnia magna in Soft Waters:  Implications for the Biotic Ligand Model|Environ. Toxicol. Chem.28(8): 1663-1670|2009|
1148782|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.1||0.063||0.16|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||13||11.5||14.5|C||240||235||260|mg/L CaCO3||400||390||415|mg/L CaCO3||7.6||7.4||7.8|Khangarot,B.S., P.K. Ray, and H. Chandra|12575|Daphnia magna as a Model to Assess Heavy Metal Toxicity:  Comparative Assessment with Mouse System|Acta Hydrochim. Hydrobiol.15(4): 427-432|1987|
1009740|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Not reported||NR||NR||NR|Not reported|Static|Fresh water|Lab|NR|Total||0.01||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||1||NR||NR|Day(s)|Not coded||25|||||C||45|||||mg/L CaCO3||42|||||mg/L CaCO3||7.5|||||Cairns,J.,Jr., A.L.,Jr. Buikema, A.G. Heath, and B.C. Parker|518|Effects of Temperature on Aquatic Organism Sensitivity to Selected Chemicals|Va.Water Resour.Res.Center, Bull.106, Office of Water Res.and Technol., OWRT Project B-084-VA, VA.Polytech.Inst.State Univ., Blacksburg, VA:88 p.|1978|
1258957|7758987|Sulfuric acid copper(2+) salt (1:1)|Not reported|Unmeasured|Not coded|>|99||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Renewal|Fresh water|Lab|8|Total||0.0094||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||17||NR||NR|Day(s)|Not coded||20|||||C|||||||NR|||||||NR|||||||Knops,M., R. Altenburger, and H. Segner|62224|Alterations of Physiological Energetics, Growth and Reproduction of Daphnia magna Under Toxicant Stress|Aquat. Toxicol.53(2): 79-90|2001|
1253519|7758987|Sulfuric acid copper(2+) salt (1:1)|Not coded|Not reported|Not coded||NR||NR||NR|Daphnia magna|Crustaceans; Standard Test Species|Neonate|<|24||NR||NR|Hour(s)|Static|Fresh water|Lab|7|Total||0.0111||NR||NR|AI mg/L|||||||||||||||||Mortality|Mortality|LC50|Not reported||2||NR||NR|Day(s)|Not coded||25|||||C||50.7|||||mg/L CaCO3||56|||||mg/L CaCO3||8.2|||||Long,K.E., E.J. Van Genderen, and S.J. Klaine|73402|The Effects of Low Hardness and pH on Copper Toxicity to Daphnia magna - Short Communication|Environ. Toxicol. Chem.23(1): 72-75|2004|
